asset,reg_date,locked,lock_date,traded,trade_date,completed,complete_date,divisible,tokens_issued,tokens_destroyed,token_supply
JPJA,2014-06-22,1,2014-06-22,1,2014-06-27,1,2014-06-27,0,100.0,0.0,100.0
FORMICACOIN,2014-07-17,1,2014-07-17,1,2014-07-29,1,2014-07-29,1,1000.0,0.0,1000.0
BEEP,2014-07-07,1,2014-08-05,1,2014-08-02,1,2014-08-05,1,1000.0,0.0,1000.0
BOOKBAG,2014-08-06,1,2014-08-07,1,2014-09-12,1,2014-09-12,0,2000.0,0.0,2000.0
EARLY,2014-07-15,1,2014-09-17,1,2014-09-19,1,2014-09-19,0,2401.0,0.0,2401.0
THEDEVSTAR,2014-11-10,1,2014-11-17,1,2014-11-17,1,2014-11-17,1,1.0,0.0,1.0
SJCXCARD,2015-06-01,1,2015-06-09,1,2015-06-05,1,2015-06-09,0,1000.0,0.0,1000.0
GEMZCARD,2015-06-02,1,2015-06-09,1,2015-06-10,1,2015-06-10,1,1000.0,0.0,1000.0
FDCARD,2015-03-11,1,2015-06-15,1,2015-04-06,1,2015-06-15,1,300.0,0.0,300.0
XCPCARD,2015-06-25,1,2015-07-10,1,2015-07-09,1,2015-07-10,0,1000.0,0.0,1000.0
SWARMCD,2015-07-06,1,2015-07-10,1,2015-07-10,1,2015-07-10,1,1000.0,0.0,1000.0
ETHEREUMCARD,2015-06-25,1,2015-07-15,1,2015-07-15,1,2015-07-15,1,1000.0,0.0,1000.0
ONETHOUSAND,2015-06-09,1,2015-06-09,1,2015-07-23,1,2015-07-23,1,1000.0,0.0,1000.0
SHAPESHIFTCD,2015-06-25,1,2015-07-30,1,2015-08-12,1,2015-08-12,1,1000.0,0.0,1000.0
SATOSHICARD,2015-06-25,1,2015-07-17,1,2015-08-13,1,2015-08-13,1,1000.0,0.0,1000.0
CLEFCARD,2015-06-25,1,2015-07-31,1,2015-08-15,1,2015-08-15,1,1000.0,0.0,1000.0
XRPCARD,2015-09-10,1,2015-09-10,1,2015-09-10,1,2015-09-10,1,500.0,0.0,500.0
ETHXCPCARD,2015-09-20,1,2015-09-23,1,2015-09-22,1,2015-09-23,0,1000.0,0.0,1000.0
RIPPLECARD,2015-07-05,1,2015-07-30,1,2015-09-30,1,2015-09-30,1,1000.0,0.0,1000.0
GENESISCARD,2015-07-05,1,2015-10-06,1,2015-09-13,1,2015-10-06,1,1000.0,0.0,1000.0
XAJIJASPAAR,2015-10-12,1,2015-10-12,1,2015-10-20,1,2015-10-20,0,1000.0,0.0,1000.0
BAZAARCARD,2015-10-21,1,2015-10-22,1,2015-10-29,1,2015-10-29,0,1000.0,0.0,1000.0
ZAIFCARD,2015-10-13,1,2015-10-15,1,2015-11-02,1,2015-11-02,0,1000.0,0.0,1000.0
BLOCKSIZECD,2015-08-27,1,2015-08-28,1,2015-11-03,1,2015-11-03,0,300.0,0.0,300.0
GOXCARD,2015-10-28,1,2015-10-28,1,2015-11-04,1,2015-11-04,0,1200.0,0.0,1200.0
MINERCARD,2015-11-04,1,2015-11-04,1,2015-11-10,1,2015-11-10,0,1200.0,0.0,1200.0
BEARWHALECD,2015-07-24,1,2015-10-01,1,2015-11-11,1,2015-11-11,0,3000.0,2570.0,430.0
XAJIARKETAAR,2015-10-26,1,2015-10-27,1,2015-11-12,1,2015-11-12,0,700.0,0.0,700.0
CARDAUGUR,2015-10-23,1,2015-11-12,1,2015-11-13,1,2015-11-13,0,1200.0,0.0,1200.0
BCYDRAGON,2015-11-16,1,2015-11-16,1,2015-11-19,1,2015-11-19,0,300.0,0.0,300.0
LTBCARD,2015-10-06,1,2015-10-06,1,2015-11-20,1,2015-11-20,0,1000.0,0.0,1000.0
XAJIBASILAAR,2015-10-12,1,2015-10-12,1,2015-11-20,1,2015-11-20,0,2000.0,0.0,2000.0
CARDASTEMA,2015-11-23,1,2015-11-24,1,2015-12-15,1,2015-12-15,0,1200.0,0.0,1200.0
SAPPHIRECARD,2015-12-10,1,2015-12-10,1,2015-12-16,1,2015-12-16,0,800.0,0.0,800.0
DOGECOINCARD,2015-12-07,1,2015-12-08,1,2015-12-21,1,2015-12-21,0,1200.0,0.0,1200.0
RUBYCARD,2015-12-10,1,2015-12-22,1,2015-12-27,1,2015-12-27,0,800.0,0.0,800.0
CARDAIRBITZ,2015-10-23,1,2015-12-01,1,2015-12-28,1,2015-12-28,0,1200.0,0.0,1200.0
LECHAT,2015-12-19,1,2015-12-30,1,2015-12-30,1,2015-12-30,1,1000.0,0.0,1000.0
WAGATECARD,2015-12-10,1,2015-12-31,1,2016-01-01,1,2016-01-01,0,800.0,0.0,800.0
EMERALDCARD,2015-12-10,1,2016-01-05,1,2016-01-08,1,2016-01-08,0,800.0,0.0,800.0
XAJIBOSS,2015-11-26,1,2015-11-27,1,2016-01-12,1,2016-01-12,0,300.0,0.0,300.0
SGDARKNESS,2015-12-10,1,2015-12-15,1,2016-01-12,1,2016-01-12,0,600.0,0.0,600.0
XAJIYEREMAAR,2015-11-02,1,2015-11-03,1,2016-01-13,1,2016-01-13,0,600.0,0.0,600.0
BTCDRAGONCD,2015-11-16,1,2015-11-16,1,2016-01-13,1,2016-01-13,0,800.0,0.0,800.0
XAJIBESAAR,2015-10-12,1,2015-10-12,1,2016-01-14,1,2016-01-14,0,500.0,0.0,500.0
WHEREBCYCARD,2015-10-23,1,2016-01-21,1,2016-01-22,1,2016-01-22,0,700.0,0.0,700.0
GOBLINCARD,2016-01-27,1,2016-01-27,1,2016-01-29,1,2016-01-29,0,1200.0,0.0,1200.0
CARDAMBER,2015-12-10,1,2016-01-12,1,2016-02-06,1,2016-02-06,0,800.0,0.0,800.0
SATOSHILITE,2016-02-03,1,2016-02-04,1,2016-02-10,1,2016-02-10,0,500.0,0.0,500.0
SAYOSIATAX,2016-02-11,1,2016-02-11,1,2016-02-15,1,2016-02-15,0,1200.0,0.0,1200.0
TALISMANCARD,2015-12-02,1,2015-12-03,1,2016-02-21,1,2016-02-21,0,400.0,0.0,400.0
DARYENCARD,2016-02-18,1,2016-03-01,1,2016-02-21,1,2016-03-01,0,1000.0,0.0,1000.0
LTCDRAGON,2016-03-02,1,2016-03-02,1,2016-03-13,1,2016-03-13,0,1000.0,0.0,1000.0
BLOCKTRAILCD,2015-12-10,1,2015-12-23,1,2016-03-17,1,2016-03-17,0,1200.0,0.0,1200.0
SHIELDWALLCD,2016-03-15,1,2016-03-15,1,2016-03-21,1,2016-03-21,0,700.0,0.0,700.0
